feature,coef,std,coef/std,coef/std*100,mean
mdstfaml,0.0626917204118495,0.2225921668362187,0.2816438749975308,28,0.05227827502034174
amlrxrel,0.003378262465807968,0.1705458473868386,0.019808529598174644,2,0.02998372660699756
sex,-0.02673283404172056,0.49473214967336393,-0.05403496429203222,-5,1.4275427176566313
age,0.1028905265311257,20.978613903405098,0.004904543598775382,0,46.89158879576886
mdsrxrel,0.04108908823608958,0.1572991598362004,0.261216196442986,26,0.025386493083807974
venthxpr,0.019776476742224023,0.19670642631703023,0.10053803077257084,10,0.0403173311635476
funghxpr,0.006352385387167217,0.208987800765451,0.0303959626538037,3,0.04576891781936534
indcycle,0.027261155874237032,0.5587068869731344,0.048793305595225094,5,1.2441822620016274
indxtx,-0.018034910025929916,49.649395462410205,-0.0003632453095946401,0,23.193942857940602
numhires8_1,-0.10167807996269003,1.4725146688447657,-0.06905063977560216,-7,7.215581773799837
himatchdqb1_1,-0.013869934614068168,0.3905047090216386,-0.03551797018995643,-4,1.8196094385679413
himatchdpb1_1,0.011090369342525745,0.6266776114317039,0.017697088806457845,2,1.1794141578519122
coorgscore,0.1296591114652085,2.1238590831915443,0.06104882969465585,6,2.4593572009764038
philgp,-0.06633045377969206,0.22283750034539715,-0.2976628874263988,-30,0.05240032546786005
ipssrdx,0.03713950696342491,0.4527478207022775,0.08203133237795857,8,3.938893409275834
ipssrpr,0.024939373970092934,0.44592797306580917,0.055926910793758236,6,3.0076078112286413
mdspredisp,-0.02261251027020012,0.10537082375238935,-0.21459934984789725,-21,0.011228641171684296
invivotcd,-0.07313039147173299,0.4519201354434338,-0.1618214939681231,-16,0.28604556550040683
hxmalig,-0.006814523444124871,0.22012007142151555,-0.030958210217347713,-3,0.051057770545158664
bcrrespr,0.02248451655222025,0.3178202762336657,0.07074601035111219,7,0.05113913751017087
karnofraw,-0.0935468875700491,9.843059199090465,-0.009503842827511712,-1,86.05085435313262
graftgp,-0.06457703218602473,0.4372580728119116,-0.14768631204621077,-15,0.25748576078112284
MEDHINC_CY,-0.06721201362944891,26732.334601670995,-2.514259028661402e-06,0,66702.04945965853
urdbmpbdage_up,0.1391670826400096,14.720510620085818,0.00945395755838246,1,34.983907396125765
dparity1_up,0.020518273007156126,0.3202177742646333,0.06407599657537899,6,0.11598860862489829
match_class2,-0.039929888629352504,0.9641496188634767,-0.04141461848672531,-4,5.32546786004882
DPB1_permissive_v1,0.0032167317900715794,0.3675616920680287,0.008751542555953364,1,0.8389747762408463
disease_10,0.2525722315587654,1,0.2525722315587654,25,0
disease_20,0.14063452073072716,1,0.14063452073072716,14,0
disease_30,0.446303472066336,1,0.446303472066336,45,0
disease_40,0.34911075729876306,1,0.34911075729876306,35,0
disease_50,0.3413139142034232,1,0.3413139142034232,34,0
disease_80,0.03169848511058068,1,0.03169848511058068,3,0
disease_100,0.3081671580541578,1,0.3081671580541578,31,0
disease_150,0.019585782257955143,1,0.019585782257955143,2,0
disease_170,0.28158534543210045,1,0.28158534543210045,28,0
disease_200,0.733505618940319,1,0.733505618940319,73,0
disease_300,-0.6384756202063507,1,-0.6384756202063507,-64,0
disease_310,-0.8512192204420443,1,-0.8512192204420443,-85,0
disease_400,-0.4403001340265104,1,-0.4403001340265104,-44,0
disease_500,-0.23582370765181146,1,-0.23582370765181146,-24,0
disease_520,-0.649957675094148,1,-0.649957675094148,-65,0
