feature,coef,std,coef/std,coef/std*100,mean
mdstfaml,0.025969210787028494,0.20520656751317737,0.12655155778754926,13,0.0440476826856257
amlrxrel,0.016356329354965237,0.15907857814072113,0.10281918248286331,10,0.025979579836424866
sex,-0.018795133991319168,0.49521655354899463,-0.03795336374889507,-4,1.4309082161757631
age,0.06377798114958036,21.101973740491072,0.003022370415863107,0,45.430195509702365
mdsrxrel,0.012580405433833155,0.14161752183884302,0.08883367870360931,9,0.020473619500721654
venthxpr,-0.0043330109717185546,0.1918631740274679,-0.022583859532617885,-2,0.03827444272197573
funghxpr,-0.05000621686829174,0.19891466492958412,-0.25139532515611135,-25,0.04126797455497942
indcycle,-0.002295797069585242,0.5567742805521252,-0.004123389225717494,0,1.2431710055059604
indxtx,-0.016586961533959686,51.735362704735095,-0.00032061167964792404,0,24.434250190010616
numhires8_1,-0.13901499445900858,1.4421649221324135,-0.09639327120330889,-10,7.2580317528198
himatchdqb1_1,0.012504085410583935,0.382070508783399,0.03272716716712797,3,1.8292617736676111
himatchdpb1_1,-0.021388862514673312,0.6249664439036781,-0.03422401750256184,-3,1.1890736088095366
coorgscore,0.04867973963391883,2.0510401444418953,0.023734172032583486,2,2.289998396322232
philgp,0.01798212239569841,0.2319204056582315,0.07753574914920461,8,0.05703747260383814
ipssrdx,0.00248972517256414,0.43512389832526116,0.005721876417606086,1,3.930507296733843
ipssrpr,-0.010368618415254204,0.41831322239540697,-0.024786733624818,-2,2.990431389319506
mdspredisp,0.0013081536172114918,0.1048608214546761,0.012475141802860223,1,0.011118832522585128
invivotcd,-0.2578024629486611,0.45154113129225765,-0.5709390464847814,-57,0.28524081894478004
hxmalig,0.011758312906124268,0.20639026794881557,0.05697125655673023,6,0.04458224194151922
bcrrespr,-0.002622362580795826,0.31722290470975284,-0.008266624325866981,-1,0.05201261559843909
karnofraw,-0.004386058931194474,9.561224751050782,-0.00045873400588271335,0,86.74293045384081
graftgp,-0.23318685293496055,0.44397437055088135,-0.5252259328519874,-53,0.2700058801518148
MEDHINC_CY,-0.07834557605235468,26923.203573215545,-2.909964850182112e-06,0,67137.11728488558
urdbmpbdage_up,0.16820987618238215,14.741515184761141,0.011410623268649278,1,34.49007516808182
dparity1_up,0.06101410577515594,0.3163468297184798,0.19287092533676722,19,0.11279200299353183
match_class2,-0.07479516354074117,0.9539654443090622,-0.07840447889065184,-8,5.352434917410595
DPB1_permissive_v1,0.004011572952183204,0.3631034753545715,0.011048015853513638,1,0.8437483295023254
disease_10,0.17089815308210912,1,0.17089815308210912,17,0
disease_20,-0.07385207414332953,1,-0.07385207414332953,-7,0
disease_30,0.4004956767474309,1,0.4004956767474309,40,0
disease_40,0.33175883782824794,1,0.33175883782824794,33,0
disease_50,0.2544702108497688,1,0.2544702108497688,25,0
disease_80,0.05584400154736628,1,0.05584400154736628,6,0
disease_100,0.13961025867114324,1,0.13961025867114324,14,0
disease_150,0.12551045892038615,1,0.12551045892038615,13,0
disease_170,0.2744941974512134,1,0.2744941974512134,27,0
disease_200,0.1723842194306343,1,0.1723842194306343,17,0
disease_300,-0.33675350502028395,1,-0.33675350502028395,-34,0
disease_310,-0.043525522321419104,1,-0.043525522321419104,-4,0
disease_400,-0.6535886291312054,1,-0.6535886291312054,-65,0
disease_500,-0.2611706943621402,1,-0.2611706943621402,-26,0
disease_520,-0.6753633365499483,1,-0.6753633365499483,-68,0
disease_570,-0.09556135353513467,1,-0.09556135353513467,-10,0
disease_600,0.311768726502428,1,0.311768726502428,31,0
disease_900,-0.668496325665564,1,-0.668496325665564,-67,0
disease_1460,0.2838074295568905,1,0.2838074295568905,28,0
dnrtype_MMRD,-0.20524347360880527,1,-0.20524347360880527,-21,0
dnrtype_MMUD,0.19032639792326267,1,0.19032639792326267,19,0
dnrtype_MRD,-0.34938125176864004,1,-0.34938125176864004,-35,0
dnrtype_MUD,0.077029057312784,1,0.077029057312784,8,0
drigp_1.0,-0.004150936196429391,0.25224329274293766,-0.016456081552422605,-2,0.09218608330798611
drigp_2.0,-0.023677329369359103,0.4125563760691814,-0.05739174266304071,-6,0.6319427846823493
drigp_3.0,0.03435696732338876,0.34554321847132696,0.09942885719298146,10,0.21132009204440683
drigp_4.0,0.0015198042505080724,0.13988543759543456,0.010864635208873766,1,0.02956340347485737
drigp_6.0,-0.008024099324789917,0.15816560629660745,-0.05073226419239559,-5,0.03498763649043957
drabomatch_dots_0.0,-0.22199503998940026,1,-0.22199503998940026,-22,0
drabomatch_dots_1.0,-0.12175751506009432,1,-0.12175751506009432,-12,0
drabomatch_dots_2.0,-0.08399726849611237,1,-0.08399726849611237,-8,0
drabomatch_dots_3.0,0.1404805534041999,1,0.1404805534041999,14,0
tbigp_0.0,-0.05056624077831535,1,-0.05056624077831535,-5,0
tbigp_1.0,-0.14378989240975723,1,-0.14378989240975723,-14,0
tbigp_2.0,-0.06434360956849172,1,-0.06434360956849172,-6,0
tbigp_3.0,-0.028569527384833437,1,-0.028569527384833437,-3,0
cytogene_1.0,0.007003803567618064,1,0.007003803567618064,1,0
cytogene_2.0,-0.0706455109319312,1,-0.0706455109319312,-7,0
cytogene_3.0,-0.1894074550003964,1,-0.1894074550003964,-19,0
cytogene_4.0,-0.10276712933915916,1,-0.10276712933915916,-10,0
cytogene_5.0,0.0685470215624574,1,0.0685470215624574,7,0
condclas_1.0,0.16442892105183057,1,0.16442892105183057,16,0
condclas_2.0,-0.3839873130495646,1,-0.3839873130495646,-38,0
condclas_3.0,-0.06771087814367817,1,-0.06771087814367817,-7,0
racegp_1,-0.08702617959045883,1,-0.08702617959045883,-9,0
racegp_2,-0.20024309055095482,1,-0.20024309055095482,-20,0
gvhprhrxgp_1.0,-1.0275683258262533,1,-1.0275683258262533,-103,0
gvhprhrxgp_2.0,-0.7381093352589828,1,-0.7381093352589828,-74,0
gvhprhrxgp_3.0,-0.3589108210882048,1,-0.3589108210882048,-36,0
gvhprhrxgp_4.0,0.7957282422783402,1,0.7957282422783402,80,0
gvhprhrxgp_5.0,0.5619825086222701,1,0.5619825086222701,56,0
gvhprhrxgp_6.0,0.4796084611314359,1,0.4796084611314359,48,0
drcmvpr_0.0,0.04696278002539514,1,0.04696278002539514,5,0
drcmvpr_1.0,-0.1356327300539449,1,-0.1356327300539449,-14,0
drcmvpr_2.0,-0.03600398559571137,1,-0.03600398559571137,-4,0
drcmvpr_3.0,-0.16259533451713654,1,-0.16259533451713654,-16,0
cytogeneelnt_1,-0.12040954688785843,1,-0.12040954688785843,-12,0
cytogeneelnt_2,-0.11767995324691592,1,-0.11767995324691592,-12,0
cytogeneelnt_3,-0.18642157270654525,1,-0.18642157270654525,-19,0
cytogeneelnt_4,-0.022534744953878187,1,-0.022534744953878187,-2,0
cytogeneelnt_5,0.15977654765378718,1,0.15977654765378718,16,0
allsubgp_1,-0.29842116613528286,1,-0.29842116613528286,-30,0
allsubgp_2,-0.2338623955182708,1,-0.2338623955182708,-23,0
allsubgp_3,0.24501429151215878,1,0.24501429151215878,25,0
urdbmpbdrace_1,-0.1502832893144328,1,-0.1502832893144328,-15,0
urdbmpbdrace_2,-0.1369859808269737,1,-0.1369859808269737,-14,0
bmpbdsex_1,-0.24342735625579548,1,-0.24342735625579548,-24,0
bmpbdsex_2,-0.04384191388561721,1,-0.04384191388561721,-4,0
mdsdist_1,0.04553741737648723,1,0.04553741737648723,5,0
mdsdist_2,-0.11722886863336693,1,-0.11722886863336693,-12,0
mdsdist_3,-0.21557781888452682,1,-0.21557781888452682,-22,0
