feature,coef,std,coef/std,coef/std*100,mean
mdstfaml,0.08753166873953769,0.19892591629680842,0.44002144300260815,44,0.04127271697899564
amlrxrel,-0.00879024991817797,0.15551221094588077,-0.056524499682131274,-6,0.02479759950178339
sex,-0.0721558830245177,0.4947054725013705,-0.14585624585812076,-15,1.4273339749759384
age,-0.03894487712682085,21.444611198077496,-0.0018160682311793206,0,44.82745871596009
mdsrxrel,-0.04077512221799267,0.13540717071833308,-0.30112971123819543,-30,0.018683122912302553
venthxpr,0.04563660428923245,0.19429234293295622,0.23488627292419914,23,0.039291173639812035
funghxpr,0.04841946280736124,0.1987953013960634,0.24356442263639963,24,0.041216101455018965
indcycle,-0.07008803938470809,0.5475701400289396,-0.12799828599310378,-13,1.233539036403782
indxtx,-0.025576741291035474,53.63851388457622,-0.0004768353826146939,0,25.52134918469955
numhires8_1,-0.07960135212398435,1.4740953861360648,-0.05400013653976449,-5,7.214176527203759
himatchdqb1_1,-0.028017957844306187,0.39095909736042767,-0.07166467805320374,-7,1.8188869387986186
himatchdpb1_1,0.013176934300950167,0.6273689931290141,0.021003483508532948,2,1.1811130612013814
coorgscore,0.2752000409908613,2.0735218753670575,0.13272106952917728,13,2.3011945875559077
philgp,-0.012163831813747824,0.2305691038388909,-0.05275568847354,-5,0.056332446356791036
ipssrdx,0.0023976874564966798,0.43199575568563375,0.005550256975768746,1,3.9298533657929005
ipssrpr,0.1034388652263905,0.41644141685657354,0.24838755474222163,25,2.9869784294853647
mdspredisp,0.04795628811900515,0.11041080060169271,0.4343441751863353,43,0.01234218422691502
invivotcd,0.11912214287161735,0.457926271863469,0.2601338909577428,26,0.29921304421672423
hxmalig,-0.03633023199773417,0.20757881769316316,-0.17501897544978043,-18,0.0451225726094095
bcrrespr,0.07841306763503923,0.3179280191748806,0.24663780134429442,25,0.05253920625035385
karnofraw,-0.22188367028735553,9.699976154438996,-0.022874661417163898,-2,86.75762894185586
graftgp,0.18472318137968055,0.450124039403687,0.4103828394155468,41,0.28228500254769856
MEDHINC_CY,-0.030295894548739544,26831.559516943646,-1.1291141884469381e-06,0,66986.81271546449
urdbmpbdage_up,0.12870293641757855,14.6682884497331,0.008774229989997257,1,34.321113800196684
dparity1_up,0.031521449981158266,0.31867226260847653,0.09891494704666465,10,0.11470305157674235
match_class2,-0.08026960181470773,0.9678423629489488,-0.0829366484539195,-8,5.326218649153598
DPB1_permissive_v1,-0.06888723878653137,0.36692699760778097,-0.18774099271966616,-19,0.8396648360980581
disease_10,-0.1265156839596719,1,-0.1265156839596719,-13,0
disease_20,-0.48566143659997135,1,-0.48566143659997135,-49,0
disease_30,-0.40106997405758704,1,-0.40106997405758704,-40,0
disease_40,0.0967577552123934,1,0.0967577552123934,10,0
disease_50,0.012738006793712644,1,0.012738006793712644,1,0
disease_80,-0.22351110350447212,1,-0.22351110350447212,-22,0
